node_id,node_type
0,depot
1,physical_customer
2,physical
3,physical
4,physical
5,physical
6,physical_customer
7,physical
8,physical
9,physical
10,physical
11,physical
12,physical
13,physical
14,physical_customer
15,physical_customer
16,physical
17,physical
18,physical
19,physical_customer
20,physical_customer
21,physical
22,physical
23,physical
24,physical_customer
25,depot
26,dummy_customer
27,dummy_customer
28,dummy_customer
29,dummy_customer
30,dummy_customer
31,dummy_customer
32,dummy_customer
