link_id,from_node,to_node,length,free_speed,type
0,0,1,10,10,dummy
1,0,25,0,10,dummy
2,1,11,30,40,physical
3,1,15,20,40,physical
4,1,19,20,40,physical
5,1,22,10,40,physical
6,2,3,60,40,physical
7,2,4,10,40,physical
8,3,2,60,40,physical
9,3,7,10,40,physical
11,4,2,10,40,physical
12,4,5,20,40,physical
13,4,13,30,40,physical
15,5,4,20,40,physical
16,5,6,20,40,physical
17,5,12,30,40,physical
18,6,5,20,40,physical
19,6,7,20,40,physical
20,6,10,10,40,physical
21,7,3,10,40,physical
22,7,6,20,40,physical
23,7,9,10,40,physical
24,8,9,20,40,physical
25,8,18,10,40,physical
26,9,7,10,40,physical
27,9,8,20,40,physical
28,9,10,20,40,physical
29,9,16,10,40,physical
31,10,6,10,40,physical
32,10,11,10,40,physical
33,11,1,30,40,physical
34,11,10,10,40,physical
35,11,12,20,40,physical
36,11,16,20,40,physical
37,11,17,30,40,physical
39,12,5,30,40,physical
40,12,11,20,40,physical
41,12,13,20,40,physical
42,12,15,30,40,physical
43,13,4,30,40,physical
44,13,12,20,40,physical
45,13,14,60,40,physical
47,14,13,60,40,physical
48,14,24,20,40,physical
50,15,1,20,40,physical
51,15,12,30,40,physical
52,15,23,10,40,physical
54,16,9,10,40,physical
55,16,11,20,40,physical
56,16,17,10,40,physical
57,16,18,20,40,physical
58,17,11,30,40,physical
59,17,16,10,40,physical
60,17,19,10,40,physical
61,18,8,10,40,physical
62,18,16,20,40,physical
63,18,20,80,40,physical
65,19,1,20,40,physical
66,19,17,10,40,physical
67,19,20,30,40,physical
68,20,18,80,40,physical
69,20,19,30,40,physical
70,20,21,20,40,physical
71,20,22,30,40,physical
73,21,20,20,40,physical
74,21,22,10,40,physical
75,21,24,20,40,physical
77,22,1,10,40,physical
78,22,20,30,40,physical
79,22,21,10,40,physical
80,22,23,20,40,physical
81,23,15,10,40,physical
82,23,22,20,40,physical
83,23,24,10,40,physical
84,24,14,20,40,physical
85,24,21,20,40,physical
86,24,23,10,40,physical
87,1,25,10,10,dummy
88,26,6,10,10,dummy
89,27,8,10,10,dummy
90,28,11,10,10,dummy
91,29,16,10,10,dummy
92,30,20,10,10,dummy
93,31,23,10,10,dummy
94,32,2,10,10,dummy
95,33,19,10,10,dummy
96,6,26,10,10,dummy
97,8,27,10,10,dummy
99,11,28,10,10,dummy
100,16,29,10,10,dummy
101,20,30,10,10,dummy
102,23,31,10,10,dummy
103,2,32,10,10,dummy
104,19,33,10,10,dummy
98,10,9,20,40,physical
