node_id,node_demand,scenario
26,35,0
26,25,1
26,15,2
26,15,3
26,5,4
26,12,5
26,35,6
26,25,7
26,13,8
27,35,0
27,35,1
27,15,2
27,45,3
27,43,4
27,35,5
27,20,6
27,35,7
27,34,8
28,25,0
28,20,1
28,40,2
28,15,3
28,12,4
28,15,5
28,10,6
28,20,7
28,14,8
29,15,0
29,5,1
29,25,2
29,15,3
29,12,4
29,10,5
29,30,6
29,15,7
29,8,8
30,25,0
30,35,1
30,15,2
30,45,3
30,43,4
30,35,5
30,40,6
30,15,7
30,17,8
31,10,0
31,25,1
31,15,2
31,15,3
31,5,4
31,12,5
31,25,6
31,25,7
31,12,8
32,15,0
32,5,1
32,25,2
32,15,3
32,12,4
32,10,5
32,30,6
32,15,7
32,8,8
33,25,0
33,35,1
33,40,2
33,45,3
33,43,4
33,35,5
33,40,6
33,15,7
33,10,8
34,35,0
34,35,1
34,15,2
34,15,3
34,12,4
34,10,5
34,10,6
34,20,7
34,19,8
